country,value_nominal,value_ppp
ABW,30559.5335346581,41649.4507917816
AFG,357.261152798144,2122.99581512665
AGO,2929.69445467272,7924.88880583905
ALB,6846.42614266044,19446.2366628501
AND,42414.0590092117,68470.075948385
ARE,49899.0652978649,73777.7443949344
ARG,13935.6811110049,29597.6938429264
ARM,6571.97445545099,19161.370051419
ASM,18017.4589383973,
ATG,20117.7653310355,30031.7474698743
AUS,64997.0136536475,65871.7715157769
AUT,52176.6649141178,70734.94256479
AZE,7770.594223351,22552.114937879
BDI,250.634225368744,888.518158386928
BEL,50807.2047084918,68137.6550260291
BEN,1264.70765976655,3844.16493382584
BFA,836.118304593682,2641.87011276969
BGD,2716.48592677835,8450.54902533944
BGR,13644.201582807,34855.890730428
BHR,30616.2610677495,61562.1414837823
BHS,33044.388209429,34719.2847669033
BIH,7655.59421024383,21117.2051973262
BLR,7994.64806074889,28429.4948814534
BLZ,7068.45478269722,13465.9807069861
BMU,120897.311155385,105048.434014574
BOL,3643.92826968677,10371.9629040947
BRA,9281.33334441234,19876.8533546887
BRB,22164.0260273876,19786.3615156208
BRN,36632.9280421411,81801.7459082792
BTN,3711.32767902157,15063.8105697833
BWA,8329.04032229144,19977.6508534267
CAF,467.359825026238,1218.43422114745
CAN,55509.393176404,62733.641579814
CHE,93245.7952120851,90214.7562721776
CHI,67627.3082341446,
CHL,15451.1319576678,30911.4104010224
CHN,12662.5826712038,22509.6363514159
CIV,2308.70654660366,6707.9479515214
CMR,1604.87726954895,5188.97750866084
COD,642.612265820033,1484.24116603544
COG,2620.83804267402,6647.49681731392
COL,6674.59601948063,20677.6225653502
COM,1489.49566257969,3709.90007443695
CPV,4323.31362665974,9481.07335405609
CRI,13625.9008491328,25924.7403788443
CUB,,
CUW,20501.7522782219,29275.7201652066
CYM,92202.1478031576,81803.0976481797
CYP,33938.9453125,56019.41796875
CZE,28282.2236715857,51709.8373933964
DEU,49686.1154582583,67589.8399055417
DJI,3231.30015326477,6517.37589344039
DMA,9085.67412772363,17738.1144882758
DNK,68091.3191138669,77400.3348008883
DOM,10109.5234003521,24379.8733515798
DZA,4961.55257664733,15836.0944368871
ECU,6540.99824522101,15280.096372305
EGY,4233.30783744856,17526.8017030166
ERI,,
ESP,30287.3657583614,50496.6017551546
EST,28451.1477825175,47802.0073086126
ETH,1011.0732858233,2844.90683529484
FIN,50438.4753952355,61344.6222226547
FJI,5405.03007408295,13672.2356371837
FRA,41082.8119320747,56181.0058137403
FRO,66108.733645837,74282.3069948875
FSM,3835.38184348074,4150.40933444852
GAB,8409.2074145028,19992.5570642927
GBR,45935.9276473925,58382.9758958382
GEO,6729.84659930283,22461.3326414548
GHA,2240.27945094566,7209.03673375227
GIB,,
GIN,1416.59612011764,4062.36136437923
GMB,836.244875868476,3067.31040374628
GNB,853.281304044102,2685.75185932065
GNQ,7589.29964909381,18139.9893266271
GRC,20971.8349258283,38969.0221675373
GRD,10474.2652893842,17554.7320332415
GRL,,
GTM,5358.08963795,13019.4785883909
GUM,41833.1517132825,
GUY,17913.4910146288,39710.9668873971
HKG,48826.0527728276,68602.277510883
HND,3003.28996826399,6805.4935829456
HRV,18466.0955472648,41959.5293828373
HTI,1760.62635668777,3264.93354407907
HUN,18353.298364905,43701.9129411187
IDN,4730.74548910499,14284.9594238784
IMN,,
IND,2352.61392452078,9153.88084185646
IRL,106194.755859223,137346.371719045
IRN,4405.09291519791,16424.3773866975
IRQ,6504.12428393548,14348.5744335333
ISL,75314.085560994,73614.9423025742
ISR,54930.7261602593,53545.8088875343
ITA,35635.7442204098,56218.7664851317
JAM,6022.15341099999,10790.1333004334
JOR,4332.25159897931,9927.23419842979
JPN,34017.2718075024,47328.5386309954
KAZ,11255.3396437881,35895.0839871669
KEN,2109.56288513137,5883.22303961924
KGZ,1739.72030814894,6577.51264877534
KHM,2325.03050040841,6917.07012912421
KIR,2075.90844085067,3340.04037873709
KNA,21011.5744209816,31883.0997800561
KOR,32394.6833725203,51231.4530663601
KWT,40077.238047746,54619.2185241072
LAO,2046.40440255621,8766.440626111
LBN,3654.35845534878,12292.8407305502
LBR,744.617175237387,1691.57275721852
LBY,5986.63694851258,12272.8356181335
LCA,13103.7621654634,24599.0309175485
LIE,186400.23376784,
LKA,3342.71989646203,14194.0225623532
LSO,1029.99553333827,2761.31105002217
LTU,25085.784063499,50498.3823963346
LUX,125006.021815486,144872.696611716
LVA,20229.4613617326,39965.2511409361
MAC,36909.9564090312,64373.9325445479
MAF,,
MAR,3455.39624023438,9283.92578125
MCO,226052.001905201,
MDA,5738.42473515618,16381.3068315541
MDG,497.242514792961,1738.29455252161
MDV,11786.0091545343,22880.512315142
MEX,11385.4070757929,23345.4214285347
MHL,6322.82855503156,7332.30020832956
MKD,7606.2375253797,24067.4891178321
MLI,813.965034073188,2525.245789037
MLT,36142.2058531852,60352.4830755597
MMR,1158.05005034332,5731.93787872064
MNE,10093.4387007266,27882.234496913
MNG,4993.51487463495,16401.9894751531
MNP,23785.754590043,
MOZ,578.251663751351,1581.9441944418
MRT,1960.35240077424,6484.8279272117
MUS,10239.7970461095,26601.7206625605
MWI,604.269751184515,1778.30582146001
MYS,11748.0919307944,34366.2284812577
NAM,4349.04532248966,10657.7384627391
NCL,33516.363085906,
NER,609.745147574878,1839.96909675904
NGA,2139.37478476974,5948.72614706813
NIC,2325.16737851871,7776.18804040389
NLD,59123.318556487,77152.2237613361
NOR,108798.451165901,122619.262920241
NPL,1385.91066275016,5102.99231141994
NRU,13287.2711890938,13356.2039986979
NZL,48216.5095836302,53049.3353731936
OMN,23665.6394740852,43244.3771424737
PAK,1538.3228133171,5920.2743065411
PAN,17332.4360742988,36245.1456551041
PER,7363.27206939639,16657.4897212687
PHL,3548.06930572116,10131.3463697941
PLW,14392.1990258461,16581.0210884902
PNG,3101.71063200047,4419.61927180525
POL,18891.2121169279,46077.3855556036
PRI,35268.0791015719,45596.8530550873
PRK,,
PRT,24620.519556875,44557.2810535723
PRY,6205.62595379319,16347.0434974754
PSE,3799.95527015163,6163.24897837616
PYF,20738.6499971661,
QAT,88701.463350036,122920.498759851
ROU,15557.8826247584,42217.9936036828
RUS,15445.2421875,40991.6171875
RWA,975.469315871749,3095.91864058305
SAU,34454.1957708412,61440.7652906224
SDN,1046.24084472656,3355.37817382813
SEN,1564.74522071584,4529.14886305445
SGP,88428.7024226232,141913.277272786
SLB,2005.4139933198,2697.44043191964
SLE,860.130884035452,3143.21125123713
SLV,5093.51833879776,11858.0780641877
SMR,54264.570495898,75941.4899090165
SOM,573.128092470162,1486.75765934254
SRB,10022.9688543402,26242.3419989038
SSD,,
STP,2389.73729784737,6033.68117221832
SUR,6084.43876736445,20078.8365545951
SVK,21342.7666714692,41111.7475259307
SVN,28373.8382265999,51079.1780691933
SWE,55296.9371472535,66375.6164555727
SWZ,3852.08573272946,10434.4813469258
SXM,36476.6300833859,47005.4692201479
SYC,17167.1909760833,30575.5705075202
SYR,1051.67149587463,4772.46167667162
TCA,26802.0673752091,23793.3622783465
TCD,671.720147647873,1808.83862023181
TGO,898.758154410712,2852.06442925896
THA,6909.35997481451,22220.2864757838
TJK,1052.17949484894,4514.17512398166
TKM,8156.35211950774,18340.1112805301
TLS,2343.24524664152,5725.14617238129
TON,4933.07479143113,7393.79668459425
TTO,22004.1997884125,33556.4643201531
TUN,3678.40023411347,13532.6380391977
TUR,10674.504157865,39101.0748100515
TUV,5911.32727055301,5661.13162581735
TZA,1207.85302734375,3799.8623046875
UGA,963.067314117178,2919.1777540711
UKR,4199.6708984375,14770.0712890625
URY,20691.9738991763,33081.5074307653
USA,78035.1753604212,78035.1753604212
UZB,2578.66689394219,10292.5309427516
VCT,9471.14627317673,18396.4968707685
VEN,,
VGB,,
VIR,44320.909185774,49793.0324395718
VNM,4116.38576094153,13852.1163600719
VUT,3265.39645133096,3345.26810172903
WSM,3869.46639492144,6260.40238271448
XKX,5290.94747224687,13950.8967322411
YEM,615.70207931388,
ZAF,6523.41097815853,14759.4350715619
ZMB,1447.12310138035,3840.72450511141
ZWE,2040.55245910726,3560.04327343522
